smiles,name,bioactivity_class
c1cc(ccc1C2=C[C@H](N=N2)[C@@H]3N=N[C@@H](N3[NH3+])SCC(=O)Nc4ccc(cn4)Br)Cl,C38990393,inactive
Cc1c(c(=O)n(n1C)c2ccccc2)NC(=S)N/C(=N/S(=O)(=O)c3ccc(cc3)Cl)/c4ccccc4,C17527756,inactive
C[NH+](C)CC[NH+]1CCN(CC1)c2nc(c3c(n(nc3n2)c4cccc(c4)F)N)c5cccc(c5)F,C37361190,inactive
Cc1ccc(cc1)N2C(=O)[C@@H]3[C@H]([NH2+][C@@]([C@H]3C2=O)(c4ccccc4)C(=O)OC)c5ccc(c(c5)OC)O,C12497392,inactive
COc1ccccc1CNC(=O)[C@@H](CC2=c3ccccc3=[NH+]C2)NS(=O)(=O)c4ccc(cc4)Cl,C63780733,inactive
C[C@@H](C(=O)NC1CCCCCC1)NC(=O)[C@H]2C(S[C@@H]3N2C(=O)c4c3cccc4)(C)C,C16021817,inactive
COc1ccc(cc1)CCC(=O)N[C@@H](CCSC)C(=O)N2CCC3(CC2)c4c([nH]cn4)CC[NH2+]3,C95190777,inactive
CN(Cc1ccccc1)S(=O)(=O)c2ccc(cc2)C(=O)Nc3ccccc3C4[NH+]=c5ccccc5=[NH+]4,C63667475,inactive
CCCC[NH2+]CC(=O)Nc1nnc(s1)SCC(=O)Nc2ccc(cc2)Br,C59435194,inactive
c1cc(ccc1F)S(=O)(=O)N2CCC3(CC2)C(=[NH+]CCN3)NCc4ccc(c(c4)Cl)F,C65074637,inactive
CCC1=C[C@H]2C[C@@](c3c(c4ccccc4[nH]3)CC[NH+](C2)C1)(c5cc6c(cc5OC)N([C@H]7[C@]68CCN9[C@@H]8[C@@](C=CC9)([C@H]([C@@]7(C(=O)OC)O)OC(=O)C)CC)C=O)C(=O)OC,C94303128,inactive
c1cc(cc(c1)F)NC(=O)N2Cc3c([nH]c[nH+]3)C[C@H]2c4nc(no4)c5ccc(cc5)C(F)(F)F,C15675774,inactive
CCOC(=O)c1c2c(sc1NC(=O)CSc3nncn3c4ccccc4F)C([NH2+]C(C2)(C)C)(C)C,C12562884,inactive
c1cc(sc1)[C@@H](CC(=O)NCCC2=CCCCC2)NS(=O)(=O)c3ccc(cc3)Br,C02938856,inactive
c1cc(ccc1N2CC[NH+](CC2)CC(=O)Nc3c(cc(cc3Br)[N+](=O)[O-])Br)F,C21265607,inactive
COc1cc(cc(c1OC)OC)CN(Cc2ccc[nH+]c2)C(=S)Nc3ccc(cc3)Oc4ccccc4,C59170043,inactive
c1ccc(cc1)COc2ccc3c(c2)c(c[nH]3)[C@@H](C(=O)[O-])[NH+]4CCN(CC4)CC[NH+]5CCCC5,C31816084,inactive
c1ccc(cc1)Cn2c(=O)c3ccc(cc3[nH]c2=S)/C(=[NH+]/Cc4ccccc4Cl)/O,C20102254,inactive
C[NH+]1CCc2cc(c(cc2[C@H]1Cc3ccc(cc3)OC)Oc4cc(ccc4O)C[C@H]5c6cc(c(cc6CCN5C)OC)OC)OC,C98230017,inactive
Cn1ccnc1[C@@H](c2ccc(cc2)Cl)NC(=O)CCCNc3cc[nH+]c4c3ccc(c4)Cl,C36397179,inactive
c1cc(ccc1NC(=O)[C@@H]2[C@H]3C=C[C@@]4([C@@H]2C(=O)N([C@@H]4C(=O)NC5CCCCC5)CC[NH+]6CCCCC6)O3)Cl,C38147214,inactive
Cc1cc(nc(n1)SCC(=O)N(Cc2ccc[nH+]c2)[C@@H](c3ccc(c(c3)OC)OC)C(=O)Nc4ccc(cc4)OC)C,C08695669,inactive
COc1ccc(cc1)C(c2ccccc2)(c3ccc(cc3)OC)OC[C@@H]4[C@H]([C@@H]([C@@H]([C@H](O4)Oc5ccc(cc5)[N+](=O)[O-])O)O)O,C77311673,inactive
CC[C@@H](c1c2c(sc1n3cccc3)C[NH+](CC2)CC)NC(=O)NC45CC6CC(C4)CC(C6)C5,C20532226,inactive
CC(=O)NNC(=O)CSc1nnc(n1N)N/N=C/c2cc(c(c(c2)OC)OC)OC,C20920245,inactive
CCN(C1CCOCC1)c1cc(cc(C(=O)NCc2c(C)cc(C)[nH]c2=O)c1C)-c1ccc(CN2CCN(CCCCCCOc3cccc4C(=O)N(C5CCC(=O)NC5=O)C(=O)c34)CC2)cc1,50582388,active
Cc1cccc(c1)Nc2c3ccccc3c([nH+]n2)c4ccc(c(c4)S(=O)(=O)NCc5[nH]c6ccccc6n5)C,C06023432,inactive
COc1ccc(cc1O)[C@@H]2[C@H]3CC=C[C@@H]3c4cc(ccc4N2)S(=O)(=O)NCCc5ccccc5,C14456954,inactive
C/C(=N\NC(=[NH2+])S[C@@H]1CC(=O)N(C1=O)c2ccc(cc2)OC)/c3ccc(cc3)C4CCCCC4,C59489297,inactive
Cc1cc(ccc1OCC(=O)NCc2ccc[nH+]c2)S(=O)(=O)Nc3ccc(cc3)F,C16552416,inactive
Cc1ccc(cc1)OCCCn2cccc2/C=C\3/C(=[NH2+])N4C(=[NH+]SC4=NC3=O)SCc5ccccc5,C13514523,inactive
c1ccc(cc1)CSc2nnc(s2)NC(=O)CSc3nc([nH]n3)N/N=C/c4cccc(c4)O,C20906441,inactive
CCc1ccccc1N(C)S(=O)(=O)c2ccc3c(c2)c(=O)c(c[nH]3)/C(=[NH+]/CCc4ccccc4)/O,C09543252,inactive
Cc1[nH]c(=O)c(CN2CCc3c(Cl)cc(N4CC5(C4)CCOCC5)c(Cl)c3C2=O)c2CCNc12,378893,active
C[C@H]1Cc2cc(ccc2O1)C(=O)C3=C(C(=O)N([C@H]3c4ccc(cc4)C(=O)OC)c5nnc(s5)SCc6cccc7c6cccc7)O,C97970087,inactive
C[C@@H](C(=O)Nc1cc(ccc1F)F)OC(=O)c2cccc(c2)S(=O)(=O)Nc3cccc(c3)Cl,C22195576,inactive
CCCCn1c(nnc1SCC(=O)Nn2c(nc3c(c2=O)cc(s3)C)C)c4cc(nc5c4c(nn5C)C)C,C98046242,inactive
CCCCOc1ccc(cc1)C(=O)Oc2ccc(cc2)/C=N/NC(=O)C(=O)Nc3ccccc3C(=O)Nc4ccc(cc4)C,C04260911,inactive
C[C@H](C(=O)Nc1nccs1)N2C(=O)/C(=C/c3cc(ccc3O)Cl)/SC2=S,C15048863,inactive
c1ccc(cc1)OCCCOc2ccc(cc2)/C=c\3/c(=[NH2+])n-4[nH]/c(=C/C(=O)N5CCCC5)/sc4nc3=O,C49694352,inactive
CCn\1c(=O)/c(=C/2\C=Cc3cc(ccc3N2CC)OC)/s/c1=C/4\C(=O)N(C(=S)S4)N,C17282378,inactive
Cc1cc(c(cc1S(=O)(=O)Nc2cc(c(cc2Cc3c4cc(c(cc4cc[nH+]3)OC)OC)OC)OC)OC)OC,C98043058,inactive
CCN(C1CCOCC1)c1cc(cc(C(=O)NCc2c(cc(C)[nH]c2=O)C(C)C)c1C)-c1ccc(nc1)N1CCC(CC1)N(C)C,172185,active
COc1cc(ccc1O)[C@H]2[C@@H]3CC=C[C@@H]3c4cc(ccc4N2)S(=O)(=O)NCCc5ccccc5,C14458873,inactive
CCN(C1CCN(CC1)C(C)=O)c1cc(cc(C(=O)NCc2c(C)cc(C)nc2=O)c1C)-c1ccc(CN2CCOCC2)cc1,172119,active
CCOc1ccc(cc1OC)c2c3c([nH]n2)OC(=C([C@@H]3c4cccc(c4OC)OC)C#N)[NH3+],C09361365,inactive
COc1ccc(cc1)CCN\2C(=O)[C@@H](S/C2=N\c3ccc(cc3)F)CC(=O)Nc4ccc(cc4)C(=O)OC,C97960239,inactive
CCN(c1cc(/C=C/c2ccc(/C=C/C(=O)OC)cc2)cc(C(=O)NCc2c(C)c3c([nH]c2=O)CCCC3)c1C)C1CCOCC1,CHEMBL4646348,active
CN(C1CCCCC1)c1cc(cc(C(=O)NCc2c(C)cc(C)[nH]c2=O)c1C)-c1cnn(C)c1,172006,active
COc1cc(ccc1O)C[C@]2(C(=O)NC(=O)N(C2=O)c3ccccc3)C[NH+]4C[C@H]5C[C@@H](C4)c6cccc(=O)n6C5,C70680791,inactive
COc1ccc(cc1)c2c3c([nH]n2)OC(=C([C@H]3c4ccc(c(c4)CSC5=[NH+]CCS5)OC)C#N)N,C08437641,inactive
c1ccc2c(c1)cccc2OC[C@H](N3CC[NH+](CC3)C[C@H](O)Oc4cccc5c4cccc5)O,C19362829,inactive
c1cc(cc(c1)F)c2nc(on2)c3cn(c[nH+]3)Cc4ccc(cc4)NS(=O)(=O)c5ccc(cc5)Cl,C32974786,inactive
CCN(CC)c1ccc(cc1)/[NH+]=C\2/N(C(=O)/C(=C/3\N(c4cc(ccc4S3)OC)C)/S2)c5ccc(cc5)O,C04124796,inactive
CC(CN(C)CCO)c1cc(Cl)c2CCN(Cc3c(C)cc(C)[nH]c3=O)C(=O)c2c1Cl,435510,active
c1cc(ncc1S(=O)(=O)N2CCOCC2)SCc3nc(c4c5c(sc4n3)CCCCC5)N,C10536338,inactive
CCc1c(C(=O)NCc2c(C)cc(C)[nH]c2=O)cc(Cl)cc1N(CC)[C@H]1CC[C@H](N(C)C)CC1,CHEMBL3896120,active
Cc1ccc(cc1I)C(=O)NC(=S)Nc2ccc(cc2C)[N+](=O)[O-],C12500528,inactive
CC(c1cc(c(cc1)OCCOCCOc2c(cc(cc2)C(C)(C)C)/N=C/c3c(cccc3)O)/N=C/c4c(cccc4)O)(C)C,C04013842,inactive
C1CN(CC[NH+]1CCCNC(=O)C(C(C(F)(F)F)(F)F)(F)F)CCCNC(=O)C(C(C(F)(F)F)(F)F)(F)F,C22790430,inactive
CC(C)n1ncc2c(cc(nc12)-c1ccc(CN(C)CCCN(C)C)cc1)C(=O)NCc1c(C)cc(C)[nH]c1=O,325819,active
Cc1cccc(c1OCCn2cc(c3c2cccc3)/C=C\4/C(=[NH2+])N5C(=[NH+]SC5=NC4=O)S(=O)(=O)C)C,C20205882,inactive
Cc1ccc(cc1)S(=O)(=O)CNC(=O)[C@H](c2ccccc2C)N(C(=O)c3ccccc3O)C(C)(C)C,C36584106,inactive
CCN(C1CCOCC1)c1cc(cc(C(=O)NCc2c(C)cc(C)[nH]c2=O)c1C)C#CC1CCN(C)CC1,155255,active
CCc1ccc(cc1)NC(=O)CSc2nc3ccc(cc3s2)NC(=O)[C@H](CC)Sc4[nH+]ccn4C,C59854085,inactive
Cc1c(c(n(n1)c2ccccc2)Oc3ccc(cc3F)F)C[NH+](C[C@@H]4CCCO4)C[C@@H](COC(C)C)O,C36304208,inactive
Cc1ccc2cccc(c2[nH+]1)NC(=O)[C@H]3CCCN(C3)S(=O)(=O)c4ccc(s4)Br,C72090894,inactive
Cc1cc(cc(c1Cl)C)OCC(=O)Nc2ccc(cc2)C(=O)N/N=C\c3ccc(c(c3)CSc4nc5ccccc5o4)OC,C98236623,inactive
CC[C@H](C)N1C(=O)[C@@H]2[C@H]([NH2+][C@]3([C@@H]2C1=O)c4cc(ccc4NC3=O)Cl)Cc5ccc(cc5)O,C16024885,inactive
CCOc1cccc2c1nc(s2)N3CC[NH+](CC3)CCNC(=O)CCS(=O)(=O)c4ccc(cc4)F,C38774953,inactive
C[C@H](C1CCN(CC(F)(F)F)CC1)n1c(C)c(C(=O)NCc2c(C)cc(Cl)[nH]c2=O)c2ccccc12,50541916,active
Cc1ccc2cccc(c2[nH+]1)OC(=O)c3c(c\4c(o3)CCC/C4=N\NC(=S)Nc5ccccc5)C,C40825323,inactive
c1cc(cc(c1)Br)C(=O)N/C(=C\c2ccc[nH+]c2)/C(=O)Nc3ccc(cc3)Br,C08400265,inactive
CC(C)(C)c1ccc(cc1)S(=O)(=O)NCCC(=O)N[C@@H](c2ccc(cc2)F)c3[nH+]ccn3C,C14404855,inactive
c1cc(ccc1[C@H]2C=c3cc(ccc3=[NH+]2)Cl)NC(=O)Nc4ccc(cc4)F,C63743847,inactive
Cc1cccc(c1)[C@]2(c3ccccc3N(C2=O)CC(=O)Nc4cc(ccc4OC)Cl)O,C65154944,inactive
COc1cc(C)[nH]c(=O)c1CNC(=O)c1c(C)n(C(C)C2CCN(C)C(C2)C(F)(F)F)c2ccccc12,50594141,active
