smiles,name,bioactivity_class
CCN(c1cc(/C=C/c2ccc(CN3CCC4(CC3)OCCO4)cc2)cc(C(=O)NCc2c(C)c3c([nH]c2=O)CCCC3)c1C)C1CCOCC1,CHEMBL4635610,active
CCN(c1cc(-c2ccc(CN3CCOCC3)cc2)cc(C(=O)NCc2c(C)cc(C)[nH]c2=O)c1C)C1CCOCC1,CHEMBL3414621,active
CCN(c1cc(Cl)cc(C(=O)NCc2c(C)cc(C)n(C)c2=O)c1C)[C@H]1CC[C@H](N(C)C)CC1,CHEMBL3909934,active
CCN(c1cncc(C(=O)NCc2c(C)cc(C)[nH]c2=O)c1C)[C@H]1CC[C@H](N(C)C)CC1,CHEMBL3895049,active
Cc1cc(C)c(CNC(=O)c2cc(-c3ccc(CN4CCOCC4)cc3)cc(N(C)C3CCOCC3)c2C)c(=O)[nH]1,CHEMBL3697408,active
Nc1ncnc2c1ncn2[C@@H]1O[C@H](CSCC[C@H](N)C(=O)O)[C@@H](O)[C@H]1O,CHEMBL418052,active
Cc1cc(C)c(CNC(=O)c2cc(C3=CC(C)(C)NC(C)(C)C3)cc(N(C)C3CCCC3)c2C)c(=O)[nH]1,CHEMBL3931287,active
CCN(c1cc(-c2cnn(C)c2)cc(C(=O)NCc2c(C)cc(C)[nH]c2=O)c1C)[C@H]1CC[C@H](N(C)C)CC1,CHEMBL3701005,active
CCN(c1cc(OC)cc(C(=O)NCc2c(C)cc(C)[nH]c2=O)c1C)[C@H]1CC[C@H](N(C)C)CC1,CHEMBL3949741,active
Nc1ncnc2c1ncn2[C@@H]1O[C@H](CSCC[C@H](N)C(=O)NCc2cnn(Cc3ccccc3)c2)[C@@H](O)[C@H]1O,CHEMBL3397323,inactive
CCN(c1cc(-c2ccc(CN3CCOCC3)cc2)cc(C(=O)NCc2c(C)c(F)c(C)[nH]c2=O)c1C)C1CCOCC1,CHEMBL3701038,active
CCN(c1cc(Br)c(C)c(C(=O)NCc2c(C)cc(C)[nH]c2=O)c1C)[C@H]1CC[C@H](N(C)C)CC1,CHEMBL3933289,active
Cc1cc(C)c(CNC(=O)c2cc(-c3cnn(CCN4CCOCC4)c3)cc(N(C)C3CCOCC3)c2C)c(=O)[nH]1,CHEMBL3697404,active
CCN(c1cc(-c2cncnc2)cc(C(=O)NCc2c(C)cc(C)[nH]c2=O)c1C)[C@H]1CC[C@H](N(C)C)CC1,CHEMBL3701011,active
CCN(c1cc(-c2cnc(C)nc2)cc(C(=O)NCc2c(C)cc(C)[nH]c2=O)c1C)[C@H]1CC[C@H](N(C)C)CC1,CHEMBL3701023,active
CCCc1cc(C)[nH]c(=O)c1CNC(=O)c1cc(-c2ccc(N3CCNCC3)nc2)cc(N(CC)C2CCOCC2)c1C,CHEMBL3701043,active
Cc1cc(C)c(CNC(=O)c2cc(-c3ccc(CN4CCOCC4)cc3)cc3c2cnn3C2CCCC2)c(=O)[nH]1,CHEMBL3360855,active
C#Cc1cc(C(=O)NCc2c(C)cc(C)[nH]c2=O)c(C)c(N(CC)[C@H]2CC[C@H](N(C)C)CC2)c1,CHEMBL3911120,active
CCN(c1cc(C(C)C)cc(C(=O)NCc2c(C)cc(C)[nH]c2=O)c1C)[C@H]1CC[C@H](N(C)C)CC1,CHEMBL3893981,active
