s.no.,smiles,name,bioactivity_class
85,COc1cc(ccc1O)[C@H]2[C@@H]3CC=C[C@@H]3c4cc(ccc4N2)S(=O)(=O)NCCc5ccccc5,C14458873,inactive
86,CCN(C1CCN(CC1)C(C)=O)c1cc(cc(C(=O)NCc2c(C)cc(C)nc2=O)c1C)-c1ccc(CN2CCOCC2)cc1,172119,active
87,CCOc1ccc(cc1OC)c2c3c([nH]n2)OC(=C([C@@H]3c4cccc(c4OC)OC)C#N)[NH3+],C09361365,inactive
88,COc1ccc(cc1)CCN\2C(=O)[C@@H](S/C2=N\c3ccc(cc3)F)CC(=O)Nc4ccc(cc4)C(=O)OC,C97960239,inactive
89,CCN(c1cc(/C=C/c2ccc(/C=C/C(=O)OC)cc2)cc(C(=O)NCc2c(C)c3c([nH]c2=O)CCCC3)c1C)C1CCOCC1,CHEMBL4646348,active
90,CN(C1CCCCC1)c1cc(cc(C(=O)NCc2c(C)cc(C)[nH]c2=O)c1C)-c1cnn(C)c1,172006,active
91,COc1cc(ccc1O)C[C@]2(C(=O)NC(=O)N(C2=O)c3ccccc3)C[NH+]4C[C@H]5C[C@@H](C4)c6cccc(=O)n6C5,C70680791,inactive
92,COc1ccc(cc1)c2c3c([nH]n2)OC(=C([C@H]3c4ccc(c(c4)CSC5=[NH+]CCS5)OC)C#N)N,C08437641,inactive
93,c1ccc2c(c1)cccc2OC[C@H](N3CC[NH+](CC3)C[C@H](O)Oc4cccc5c4cccc5)O,C19362829,inactive
94,c1cc(cc(c1)F)c2nc(on2)c3cn(c[nH+]3)Cc4ccc(cc4)NS(=O)(=O)c5ccc(cc5)Cl,C32974786,inactive
95,CCN(CC)c1ccc(cc1)/[NH+]=C\2/N(C(=O)/C(=C/3\N(c4cc(ccc4S3)OC)C)/S2)c5ccc(cc5)O,C04124796,inactive
96,CC(CN(C)CCO)c1cc(Cl)c2CCN(Cc3c(C)cc(C)[nH]c3=O)C(=O)c2c1Cl,435510,active
97,c1cc(ncc1S(=O)(=O)N2CCOCC2)SCc3nc(c4c5c(sc4n3)CCCCC5)N,C10536338,inactive
98,CCc1c(C(=O)NCc2c(C)cc(C)[nH]c2=O)cc(Cl)cc1N(CC)[C@H]1CC[C@H](N(C)C)CC1,CHEMBL3896120,active
99,Cc1ccc(cc1I)C(=O)NC(=S)Nc2ccc(cc2C)[N+](=O)[O-],C12500528,inactive
100,CC(c1cc(c(cc1)OCCOCCOc2c(cc(cc2)C(C)(C)C)/N=C/c3c(cccc3)O)/N=C/c4c(cccc4)O)(C)C,C04013842,inactive
101,C1CN(CC[NH+]1CCCNC(=O)C(C(C(F)(F)F)(F)F)(F)F)CCCNC(=O)C(C(C(F)(F)F)(F)F)(F)F,C22790430,inactive
102,CC(C)n1ncc2c(cc(nc12)-c1ccc(CN(C)CCCN(C)C)cc1)C(=O)NCc1c(C)cc(C)[nH]c1=O,325819,active
103,Cc1cccc(c1OCCn2cc(c3c2cccc3)/C=C\4/C(=[NH2+])N5C(=[NH+]SC5=NC4=O)S(=O)(=O)C)C,C20205882,inactive
